"date" "month" "week" "day" "year" "ARFirmEngSupReq" "TotalEnergyContent" "TotalECCEnergyContent" "FirmEnergyDeficit" "TotalCoordPreEnergy" "TotalNFEnergyContent" "NonFirmEnergyDeficit"
1982-09-19 9 8 19 1982 36842.1349070536 35974067.2285457 3029595.51377396 183368.642673292 1168011.35732671 2891888.21544466 181800
1982-09-26 9 9 26 1982 85669.0895049597 36020707.1072109 3069235.18485809 427330.675935708 967681.324064292 2777362.78306807 181800
1982-10-03 10 10 3 1982 2011.16564454054 30815426.4334964 3740198.51189116 8361.49478588463 1421556.10521412 3743516.97584115 357803.894785885
1982-10-10 10 11 10 1982 37575.4323713287 30803261.9107592 3782185.39953741 158260.151348154 1306563.04865185 3665163.3387608 363600
1982-10-17 10 12 17 1982 126545.574277571 30612685.1990734 3633415.13058309 537222.349708997 962506.450291003 3211591.14803892 363600
1982-10-24 10 13 24 1982 173313.268037618 30129906.0853201 3220447.68142687 736013.82490161 798620.575098389 2648149.28146351 363600
1982-10-31 10 14 31 1982 163368.968756262 29489948.756594 2669450.50058531 693011.653292539 876528.346707461 2137451.28305516 363600
1982-11-07 11 15 7 1982 22213.8386958799 28684744.7506235 4050872.95645003 93107.3684256042 1432800.6315744 3988034.00280808 3272400
1982-11-14 11 16 14 1982 0 26413390.6814495 1868145.41402112 0 1710626.66593354 1878144.41402112 3029373.33406646
1982-11-21 11 17 21 1982 0 25094673.9492293 623213.170693889 0 1848308.06606838 633212.170693889 2848491.93393162
1982-11-28 11 18 28 1982 0 24678979.3386746 289136.160303414 0 1850055.98864346 299135.160303414 2803544.01135654
1982-12-05 12 19 5 1982 0 23555020.1050513 2923757.94208092 0 1797580.43371328 2933756.94208092 1507835.76628672
1982-12-12 12 20 12 1982 0 22217947.3027349 1948583.49080011 0 1610965.16617022 1958582.49080011 1774245.63382978
1982-12-19 12 21 19 1982 17904.537136676 20766541.0480793 880361.205679514 78721.497842358 1578082.50215764 841067.811228501 1824605.4
1982-12-26 12 22 26 1982 61825.4888210079 19960691.6115359 150955.402670171 256520.271291955 1487547.72870804 78716.220975285 1454400
1983-01-02 1 23 2 1983 48723.9351562813 24263776.5183965 7728998.49901267 163362.123693447 1584099.47630655 7608574.29666882 727200
1983-01-09 1 24 9 1983 31005.6549324873 23408811.9652111 7034033.91753696 108929.794559391 1641925.40544061 6955821.20711811 727200
1983-01-16 1 25 16 1983 73086.4319737427 22605596.1821365 6378962.379931 269966.302306112 1484282.49769389 6167350.56088306 727200
1983-01-23 1 26 23 1983 88601.5103460161 21639891.5321771 5555097.04966062 348906.421258094 1408735.97874191 5282460.23164645 727200
1983-01-30 1 27 30 1983 56966.2912544349 20576178.9100434 4689716.396614 243528.563279235 1517507.43672077 4498706.25598395 727200
1983-02-06 2 28 6 1983 31922.0892013965 19567497.2374812 4094914.1838758 152162.551240384 1495551.44875962 3976140.21565342 969600
1983-02-13 2 29 13 1983 2599.14216093548 18398300.0861016 3164379.93863709 14739.6773208473 1519652.32267915 3161512.1016084 969147.677320847
1983-02-20 2 30 20 1983 0 17410022.8728202 2597120.80353405 0 1605119.92921279 2607119.80353405 771480.070787206
1983-02-27 2 31 27 1983 0 16585615.6754792 2259689.01515224 0 1929417.12092343 2269688.01515224 334982.87907657
1983-03-06 3 32 6 1983 0 16424887.9443715 2434349.56524888 0 2333621.87983748 2444348.56524888 922278.120162524
1983-03-13 3 33 13 1983 0 15694209.3345788 2112808.41974685 0 2244073.5053835 2122807.41974685 912526.494616502
1983-03-20 3 34 20 1983 0 15083306.0912209 1840139.54662913 0 2743322.60714232 1850138.54662913 313977.392857684
1983-03-27 3 35 27 1983 0 14974372.9975063 1991777.01312947 0 2354516.00228903 2001776.01312947 603483.997710967
1983-04-03 4 36 3 1983 0 14560617.9497382 1628817.18558544 0 3122239.66170377 1638816.18558544 0
1983-04-10 4 37 10 1983 0 14641621.4644534 1953432.34599932 0 1964255.72472901 1963431.34599932 751944.275270988
1983-04-17 4 38 17 1983 0 14081427.1815229 1555220.78823329 0 1669573.70757967 1565219.78823329 986326.292420333
1983-04-24 4 39 24 1983 0 13939156.1443256 1265613.01577197 0 2047773.69677551 1275612.01577197 547826.303224488
1983-05-01 5 40 1 1983 0 14768653.4287858 1458550.80687056 0 2928000.488111 1468549.80687056 0
1983-05-08 5 41 8 1983 0 16173158.8568271 2048013.08937232 0 3218918.34827288 2058012.08937232 0
1983-05-15 5 42 15 1983 0 17614505.3379421 2692375.18492214 0 3229507.39084735 2702374.18492214 0
1983-05-22 5 43 22 1983 0 19597053.5528843 3560035.53781903 0 3134162.68149341 3570034.53781903 0
1983-05-29 5 44 29 1983 0 22824113.0918859 4877602.71536275 0 3254148.21854135 4887601.71536275 0
1983-06-05 6 45 5 1983 0 26822557.3544807 5612467.40033217 0 2566589.85245778 5622466.40033217 0
1983-06-12 6 46 12 1983 0 29630545.2211561 4685686.66230652 0 4481251.73380399 4695685.66230652 0
1983-06-19 6 47 19 1983 0 31013340.0893302 3636345.65038029 0 4456740.78693476 3646344.65038029 0
1983-06-26 6 48 26 1983 0 32085711.4413324 2659110.23013335 0 4364121.52505957 2669109.23013335 0
1983-07-03 7 49 3 1983 0 33926586.7231212 2402805.10843538 0 4264828.9843169 2412804.10843538 0
1983-07-10 7 50 10 1983 0 35899267.4457115 2798149.16422431 0 2967839.34275611 2808148.16422431 890760.657243895
1983-07-17 7 51 17 1983 0 224160646.423022 1055347.14904307 0 3442796.41245222 1065346.14904307 398703.587547775
1983-07-31 7 52 31 1983 0 207241713.171408 0 0 3025298.79238637 9999 799101.207613626
1983-08-07 8 1 7 1983 0 110094162.500631 2613894.5047732 0 2571981.74104275 2623893.5047732 0
1983-08-14 8 2 14 1983 0 64251889.2662512 2412798.84184605 0 2034915.17340501 2422797.84184605 0
1983-08-21 8 3 21 1983 0 57329361.5369457 2295107.90120271 0 2240462.39315216 2305106.90120271 0
1983-08-28 8 4 28 1983 0 55449352.7821431 2247111.34093953 0 1679700.41256977 2257110.34093953 0
1983-09-04 9 5 4 1983 0 55638139.5829728 2182963.25741125 0 1572318.97976107 2192962.25741125 120881.020238926
1983-09-11 9 6 11 1983 68786.3452928062 35621438.9050954 2785685.77023275 337123.416774256 926992.583225744 2573886.71636304 181800
1983-09-18 9 7 18 1983 104480.984555036 35530296.9066343 2838753.73037695 511556.019391888 796191.980608112 2510306.48159012 181800
1983-09-25 9 8 25 1983 101269.950805586 35290699.8566224 2702384.50081484 499119.795948131 852260.204051869 2388426.27980955 181800
1983-10-02 10 9 2 1983 121842.462120544 34902331.0523935 2471640.98326315 606516.775385342 788495.224614658 2091034.86502995 181800
